2D-Data set:  transported gossan material (Riotinto, Spain)    
    7
sample
easting   metres
northing  metres
elevation metres
length    metres
gold      g/t
silver    g/t
  659 -1512.5  2162.5 428.3  4.50  1.60   23.00
  676 -1512.5  2187.5 426.4  9.00  1.42   20.50
  681 -1512.5  2212.5 428.5  3.00  1.65   20.50
  680 -1512.5  2237.5 425.8  9.00  2.38   62.92
  689 -1512.5  2262.5 428.0  4.50  0.73   46.67
  688 -1512.5  2287.5 428.8  4.50  1.20   57.33
   45 -1500.9  2449.1 422.5  4.00  1.62   91.50
  594 -1500.5  2149.7 423.4 32.00  2.47   70.91
  592 -1500.1  2250.8 435.0 24.00  1.64   54.42
  350 -1500.0  1925.0 424.6 10.00  2.25  134.53
  349 -1500.0  1950.0 424.1 10.00  2.68  177.12
  640 -1500.0  2000.0 420.6  1.50  0.70   88.00
  639 -1500.0  2025.0 420.2  3.00  0.55   91.50
  647 -1500.0  2050.0 418.3  7.50  1.16   45.40
  694 -1500.0  2075.0 417.2 10.00  1.10   60.83
  695 -1500.0  2100.0 417.2 10.00  1.19   57.85
  696 -1500.0  2125.0 417.2 10.00  0.99   58.30
  697 -1500.0  2150.0 417.2 10.00  1.62  116.08
  698 -1500.0  2175.0 417.5 10.00  2.10  102.60
  711 -1500.0  2200.0 418.8  7.50  2.62  102.10
  710 -1500.0  2225.0 421.2  3.00  2.90  104.00
  133 -1500.0  2375.0 418.1 10.00  1.42   93.85
   81 -1500.0  2400.0 417.6 13.50  0.41   49.19
  134 -1500.0  2425.0 420.3 10.00  1.46   95.15
  150 -1500.0  2450.0 420.4 10.00  0.82   62.51
  323 -1500.0  2500.0 415.0  6.00  1.21   33.00
  325 -1500.0  2525.0 414.8  6.00  0.88   53.25
  599 -1498.8  2050.6 434.9 24.00  1.96   63.21
  610 -1496.1  1951.4 426.1  6.00  2.57  176.83
   35 -1495.2  2541.5 415.4  4.00  1.73  126.75
  678 -1487.5  2187.5 428.0  3.00  1.75   50.00
  677 -1487.5  2212.5 426.5  9.00  1.68   55.17
  679 -1487.5  2237.5 426.0  9.00  1.82   43.75
  690 -1487.5  2262.5 427.5  6.00  1.68   65.25
  691 -1487.5  2287.5 427.8  6.00  1.29   38.50
   82 -1477.0  2473.0 420.7  7.50  1.31   66.65
  435 -1475.0  1925.0 416.0 10.00  1.35   71.53
  436 -1475.0  1950.0 415.6 10.00  1.57   42.92
  651 -1475.0  1975.0 415.3  8.50  1.30   24.44
  467 -1475.0  2000.0 415.9 10.00  1.29   32.03
  642 -1475.0  2025.0 416.7  9.00  0.84   39.75
  641 -1475.0  2050.0 418.4  6.00  1.24   60.75
  650 -1475.0  2075.0 419.1  4.50  2.38  120.67
  648 -1475.0  2100.0 417.0 10.00  0.87   56.33
  646 -1475.0  2125.0 417.0 10.00  1.49   91.83
  699 -1475.0  2150.0 416.8 10.00  1.76  135.45
  712 -1475.0  2200.0 417.4 10.00  1.87   75.20
  636 -1475.0  2225.0 427.8  4.50  1.80   51.83
  132 -1475.0  2375.0 418.1 10.00  1.48  116.83
  120 -1475.0  2400.0 418.3 10.00  0.79   83.83
  135 -1475.0  2425.0 418.1 10.00  0.77   68.50
  151 -1475.0  2450.0 419.9 10.00  0.83   48.03
  146 -1475.0  2475.0 421.3  7.50  2.37   69.35
  322 -1475.0  2500.0 415.8  6.00  0.19    9.12
  328 -1475.0  2525.0 413.4  9.00  1.81   98.50
  327 -1475.0  2550.0 412.5 10.00  1.56  120.10
  593 -1469.2  2281.0 436.1 22.00  2.29   34.91
   64 -1455.0  1999.1 411.5 16.00  1.26   45.19
  615 -1453.3  2118.4 420.6 36.00  1.16   43.92
  116 -1450.0  1925.0 416.6 10.00  1.10   27.99
  438 -1450.0  1950.0 415.6 10.00  1.80   39.92
  439 -1450.0  1975.0 415.5 10.00  1.54   36.38
  463 -1450.0  2000.0 415.1 10.00  0.94   26.60
  461 -1450.0  2025.0 416.9  7.50  1.03   20.30
  462 -1450.0  2050.0 416.2  9.00  1.35   38.75
  644 -1450.0  2075.0 416.0  9.00  0.96   32.42
  645 -1450.0  2125.0 417.2  4.50  0.87   24.67
  649 -1450.0  2150.0 415.7  8.50  1.44   66.29
  656 -1450.0  2175.0 418.8  6.00  1.77  100.81
  700 -1450.0  2200.0 418.2  7.50  1.67  102.80
  652 -1450.0  2225.0 420.5  1.50  1.70  145.00
  714 -1450.0  2250.0 420.5  1.50  1.45  116.00
  717 -1450.0  2300.0 417.5  6.00  1.62   93.75
  124 -1450.0  2350.0 418.4 10.00  1.13   87.58
  402 -1450.0  2375.0 408.3 10.00  1.03   61.90
  403 -1450.0  2400.0 408.6 10.00  0.32   22.45
  405 -1450.0  2425.0 410.0  7.50  0.51   44.10
