2D-Data set:  transported gossan material (Riotinto, Spain)    
    7
sample
easting   metres
northing  metres
elevation metres
length    metres
gold      g/t
silver    g/t
  475 -1150.0  1975.0 388.4 10.00  1.54   62.12
  465 -1150.0  2000.0 388.7 10.00  1.08   45.30
  421 -1150.0  2025.0 389.1 10.00  1.06  107.28
  301 -1150.0  2050.0 389.5 10.00  1.11   62.95
  271 -1150.0  2075.0 388.7 10.00  2.13   81.03
  269 -1150.0  2100.0 388.7 10.00  1.66   79.83
  544 -1150.0  2125.0 385.1  6.00  1.86   86.88
  543 -1150.0  2150.0 385.1  6.00  1.39   84.50
  303 -1150.0  2175.0 388.8 10.00  0.96   81.40
   46 -1149.7  1751.0 399.4  6.00  4.03   32.17
    8 -1149.2  1899.9 393.7 10.00  0.46   16.42
   67 -1140.0  2030.0 384.0 37.00  1.27   73.83
  211 -1125.0  1950.0 394.1 10.00  1.33   46.39
  504 -1125.0  1975.0 388.8 10.00  1.53   44.40
  418 -1125.0  2000.0 389.1 10.00  1.06   54.15
  216 -1125.0  2025.0 389.5 10.00  1.17   72.65
  215 -1125.0  2050.0 389.5 10.00  1.70  103.47
  546 -1125.0  2075.0 385.6  6.00  2.04   82.12
  545 -1125.0  2100.0 385.9  6.00  1.58   73.62
  416 -1125.0  2175.0 388.2 10.00  1.88  109.10
   43 -1101.2  2049.6 381.4 24.00  2.26   81.33
   49 -1100.6  2148.9 381.6 24.00  2.18   91.42
   97 -1100.0  1800.0 386.3 16.50  1.75   42.52
  213 -1100.0  2000.0 389.5 10.00  1.19  159.09
  212 -1100.0  2025.0 388.7 10.00  1.38   89.66
  214 -1100.0  2075.0 389.5 10.00  1.60  103.41
   76 -1100.0  2100.0 379.9 41.00  1.48   56.73
  548 -1100.0  2125.0 385.6  6.00  1.72  142.12
  547 -1100.0  2150.0 385.1  6.00  1.13   82.38
  300 -1075.0  1750.0 394.9  6.00  2.65   30.38
  170 -1075.0  1825.0 394.1  4.50  1.53   22.00
  419 -1075.0  1975.0 389.7 10.00  1.90   93.10
  417 -1075.0  2000.0 389.1 10.00  1.88  118.78
  415 -1075.0  2025.0 389.1 10.00  2.08   89.33
  414 -1075.0  2050.0 388.2 10.00  1.62   84.58
  299 -1050.0  1750.0 394.0  9.00  1.84   17.50
  171 -1050.0  1800.0 386.5  6.00  1.70   26.00
  304 -1050.0  1825.0 387.9  3.00  2.45   36.50
   12 -1050.0  2000.0 382.0 14.00  1.91   87.00
    9 -1040.9  1903.6 394.7  2.00  1.85   37.00
  298 -1025.0  1750.0 393.6 10.00  2.05   17.68
  173 -1025.0  1800.0 386.3  6.00  1.80   32.50
  172 -1025.0  1825.0 385.6  7.50  1.30   21.40
    4 -1000.1  1799.3 374.2 26.00  1.46   60.35
   91 -1000.0  1700.0 401.4 13.50  1.18   24.67
  297 -1000.0  1750.0 394.0  9.00  3.01   18.83
   94 -1000.0  1800.0 379.8 19.50  2.02   46.12
  177 -1000.0  1825.0 387.4  7.50  1.34   47.10
  294  -975.0  1750.0 393.4 10.00  1.36    7.05
  179  -975.0  1800.0 386.5 12.00  1.17   16.44
  178  -975.0  1825.0 379.9  7.50  1.43   51.30
  295  -950.0  1750.0 392.5 10.00  1.90   12.35
  268  -950.0  1775.0 388.4  4.50  2.45   27.33
  175  -950.0  1800.0 387.3 10.50  1.21   23.21
  296  -925.0  1750.0 392.5 10.00  1.52   13.88
  267  -925.0  1775.0 386.4  6.00  1.70   19.75
  162  -925.0  1800.0 383.4 10.50  1.22   28.93
    5  -900.7  1796.1 378.1 22.00  1.36   32.71
   15  -900.3  1893.1 359.9 10.00  1.56   93.80
   92  -900.0  1700.0 401.3 16.50  1.07   20.05
  266  -900.0  1775.0 383.4 10.00  1.40   14.62
   90  -900.0  1800.0 380.8 13.50  1.40   24.00
  491  -875.0  1775.0 383.7  9.00  1.52   25.17
   16  -864.6  1856.4 363.9  4.00  2.35   35.50
   62  -848.2  1749.7 389.5 26.00  1.46   32.50
   14  -848.1  1896.9 353.2 14.00  1.90  109.67
  541  -825.0  1775.0 388.1 13.50  1.18  154.22
  260  -800.0  1775.0 394.9  6.00  1.14  147.50
    3  -788.3  1797.1 388.4 18.00  1.94  109.14
   98  -787.0  1787.0 390.8 22.50  1.21   77.75
  255  -775.0  1775.0 395.0  6.00  0.99   46.00
  256  -775.0  1800.0 395.1  6.00  1.19  103.00
   63  -759.8  1866.0 362.1 14.00  0.65   46.69
   13  -756.1  1907.4 358.3  2.00  0.15    4.00
  492  -750.0  1725.0 403.6  6.00  0.81   13.25
   61  -750.0  1750.0 393.2 20.00  1.65   25.50
  253  -750.0  1775.0 395.9  6.00  1.19   40.25
  254  -750.0  1800.0 395.9  6.00  1.14   90.50
  251  -725.0  1775.0 395.9  6.00  1.33   35.38
  252  -725.0  1800.0 395.9  6.00  1.90   37.75
  264  -725.0  1825.0 395.9  6.00  5.85   87.50
  250  -700.0  1775.0 397.6  6.00  1.88   36.25
  249  -700.0  1800.0 396.6  6.00  1.79   75.75
  262  -700.0  1825.0 396.4  6.00  1.57   55.62
    1  -699.8  1799.5 385.3 28.00  1.56   25.50
  258  -675.0  1775.0 397.6  6.00  1.80   64.25
  248  -675.0  1800.0 397.5  6.00  1.50   18.38
  263  -675.0  1825.0 397.6  6.00  2.45   19.75
   60  -650.6  1849.3 392.8 18.00  1.33   22.44
  257  -650.0  1775.0 398.4  6.00  2.10   29.75
  247  -650.0  1800.0 398.5  6.00  1.61   18.25
  265  -650.0  1825.0 398.0  6.00  1.19   19.00
   58  -647.0  1749.5 397.2  8.00  2.01   21.38
  261  -625.0  1775.0 398.9  6.00  1.65   25.88
  246  -625.0  1800.0 398.6  6.00  0.93   21.12
  259  -600.0  1775.0 398.9  6.00  1.54    8.50
    2  -599.8  1799.8 399.3  4.00  0.62    7.75
   59  -559.9  1840.3 397.9  8.00  0.74    7.75
   93  -508.0  1703.0 391.4  6.00  1.86   18.31

